Name,Location,TotalRooms
SUBURBAN EXTENDED STAY INDY NE,8055 BASH ST,118
"73rd HOTELS PARTNERS, LLC dba HAMPTON INN",5860 W 73RD ST,110
"NORTH AMERICAN HOSPITALITY, INC dba INDY SPEEDWAY INN",3851 SHORE DR,80
CLARION HOTEL,2500 S HIGH SCHOOL RD,268
INDIANAPOLIS MARRIOTT EAST,7202 E 21ST ST,315
FOUNTAINVIEW INN,1105 PROSPECT ST,10
HILTON GARDEN INN INDIANAPOLIS NORTHWEST,6930 INTECH BLVD,122
MOTEL 6 CASTLETON,8325 BASH ST,132
COURTYARD BY MARRIOTT- INDIANAPOLIS AT THE CAPITOL,320 N SENATE AVE,124
ATLAS HOTEL,433 E WASHINGTON ST,25
HYATT REGENCY INDIANAPOLIS DOWNTOWN,1 S CAPITOL AVE,499
JAMESON INN ,5860 FORTUNE CIR W,238
JW MARRIOTT INDIANAPOLIS,10 S WEST ST,1005
COURTYARD BY MARRIOTT INDIANAPOLIS AIRPORT,2602 FORTUNE CIR E,151
HAMPTON INN & SUITES AIRPORT,9020 HATFIELD DR,118
NA,11077 E WASHINGTON ST,20
THE WESTIN INDIANAPOLIS,241 W WASHINGTON ST,575
SPRINGHILL SUITES BY MARRIOTT  SUMMIT HOTELS TRS 109 LLC,601 W WASHINGTON ST,453
COURTYARD BY MARRIOTT,8670 ALLISONVILLE RD,146
AVR INDIANAPOLIS HOTEL LLC,123 S ILLINOIS ST,273
MARRIOTT INDIANAPLIS DOWNTOWN,350 W MARYLAND ST,622
PICKWICK REALTY LLC,1540 HANDBALL LN,85
RAMADA INN INDIANAPOLIS AIRPORT,5601 FORTUNE CIR W,131
DELTA HOTELS INDY EAST,7304 E 21ST ST,123
RODEWAY INN/CARRIBEAN COVE (CLOSED),3850 DEPAUW BLVD,344
"AMERIPLEX HOTEL, LLC",8555 STANSTED DR,122
BAYMONT INN & SUITES,1540 BROOKVILLE CROSSING WY,75
BAYMONT INN AND SUITES INDIANAPOLIS SOUTH,4402 CREEK VIEW DR,99
CANDLEWOOD SUITES,1152 N WHITE RIVER PKWY W DR,280
CLARION INN AND SUITES,7001 CORPORATE DR,67
COUNTRY INN & SUITES,4325 SOUTHPORT CROSSINGS WY,65
COURTYARD MARRIOTT SOUTH,4650 SOUTHPORT CROSSINGS DR,83
DAYS INN BY WYNDHAM INDIANAPOLIS OFF I-69,8300 CRAIG ST,101
EXTENDED STAY AMERICA #4014,2730 FORTUNE CIR W,107
FAIRFIELD INN AND SUITES BY MARRIOTT INDIANAPOLIS SOUTH,4504 SOUTHPORT CROSSINGS DR,62
HAMPTON INN & SUITES INDIANAPOLIS-KEYSTONE,8980 RIVER CROSSING BL,125
HAMPTON INN INDIANAPOLIS SOUTH,7045 MC FARLAND BLVD,112
HOME2 SUITES - DOWNTOWN,115 N PENNSYLVANIA ST,102
HOME2 SUITES BY HILTON INDIANAPOLIS SOUTH,5215 NOGGLE WAY,106
HOTEL BROAD RIPPLE LLC,6520 WESTFIELD BLVD,9
HYATT PLACE INDIANAPOLIS,9104 KEYSTONE XING,124
INDIANAPOLIS MARRIOTT,3645 RIVER CROSSING PW,315
INDY HOSTEL,4903 WINTHROP AVE,7
LOOKING GLASS INN,1319 N NEW JERSEY ST,7
MOTEL 6 INDIANAPOLIS SOUTHPORT,4345 SOUTHPORT CROSSINGS WY,70
NESTLE INN,637 N EAST ST,6
PARK PLACE CITY CENTER,1150 N WHITE RIVER DR,138
QUALITY INN & SUITES,4450 SOUTHPORT CROSSINGS DR,65
SHERATON INDIANAPOLIS HOTEL AT KEYSTONE CROSSING,8787 KEYSTONE XING,395
SLEEP INN & SUITES,1629 SUGAR GROVE AVE,88
STONE SOUP INN,1304 N CENTRAL AVE,9
TEST,TEST,1
"THE HARNEY HOUSE, LLC",345 N EAST ST,3
THE VILLA INN,1456 N DELAWARE ST,10
WATERFRONT HOTEL & CONFERENCE CENTER,2930 WATERFRONT PKWY W DR,139
SKYVIEW HOTEL (CLOSED),8275 CRAIG ST,158
MARTEN HOUSE (CLOSED),1801 W 86TH ST,192
HILTON INDY NORTH (CLOSED),8181 N SHADELAND AVE,221
