IncidentDescription,CallForService
THEFTPRES - THEFT / PRESCRIPTION,TRUE
THREAT,TRUE
THREATINV       AGAINST SCHOOL/BUSINESS/EVENT,TRUE
TRAFCOM - TRAFFIC COMPLAINT,FALSE
TRAFDIR - TRAFFIC / DIRECT,FALSE
TRAFENF - TRAFFIC / ENFORCE,FALSE
TRAFHAZ - TRAFFIC HAZARD,FALSE
TRAFINV-TRAFFIC INVESTIGATION,FALSE
TRAIN - TRAINING,FALSE
TRANS - TRANSPORTATION,FALSE
TRESPA - TRESPASS,TRUE
TRMSVC - AIRPORT TERM SVC,FALSE
TRNBLK - TRAIN BLOCKING TRACKS,FALSE
TS - TRAFFIC STOP,FALSE
TSA - TSA REFERRAL,FALSE
TSTOP - TRAFFIC STOP,FALSE
AIRPORT UNATTENDED PACKAGE,FALSE
VANDAL - VANDALISM,TRUE
VANDIN - VANDALISM / IN-PROGRESS,TRUE
VEH - VEHICLE / DELAYED,TRUE
VEHABN - VEHICLE / ABANDONED,TRUE
VEHCK-VEHICLE CHECK FOR STOLEN,TRUE
VEHDIS - VEHICLE / DISABLED,TRUE
VEHILLEGAL- VEHICLE / ILLEGALLY PARKED,FALSE
VEHIMP - VEHICLE / IMPOUND,TRUE
VEHIN - VEHICLE / IN-PROGRESS,TRUE
VEHINSTL-VEHICLE STOLEN / IN-PROGRESS,TRUE
VEHJACK - VEHICLE / CARJACKING,TRUE
VEHREC - VEHICLE / RECOVERED,TRUE
VEHRECK - VEHICLE / RECKLESS,TRUE
VEHRECV - VEHICLE / STOLEN RECOVERY,TRUE
VEHREL - VEHICLE / RELEASE,TRUE
VEHSTL - VEHICLE / STOLEN / DELAYED,TRUE
VEHSUS - VEHICLE / SUSPICIOUS,TRUE
VEHSWP - VEHICLE / SWEEP,TRUE
VICE - VICE INVESTIGATION,TRUE
VINCHK - VEHICLE VIN CHECK,TRUE
WARARR - WARRANT /  ARREST,FALSE
WARCHK - WARRANT / CHECK FOR,FALSE
WARSEARCH - WARRANT / SEARCH,FALSE
WEAPON - WEAPON / SURRENDER,TRUE
WEATHR - WEATHER WARNING,FALSE
